证券代码,证券简称,"净资产收益率ROE(平均)
[报告期] 2025年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2024年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2023年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2022年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2021年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2020年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2019年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2018年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2017年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2016年报
[单位] %↓","净资产收益率ROE(平均)
[报告期] 2015年报
[单位] %"
1359.HK,中国信达,1.8264,1.5691,3.0553,3.4405,6.8745,7.8621,8.1228,7.8697,12.5583,12.8771,14.3813
6818.HK,中国光大银行,6.5117,7.3145,7.6946,9.0485,9.2756,9.0226,10.5748,10.7494,11.3632,12.7985,14.6735
6190.HK,九江银行,1.8447,1.8178,1.9096,4.5942,5.6990,6.5988,7.6890,8.7434,11.7346,12.6155,
2603.HK,吉宏股份,11.2985,8.1175,15.7737,9.2872,12.6011,35.5032,31.1514,35.8198,17.0428,12.4220,15.5580
6680.HK,金力永磁,9.6815,4.1466,8.1657,14.4137,19.9980,16.8768,12.8519,15.2323,18.2330,12.2890,31.5521
1055.HK,中国南方航空股份,2.4175,-4.9129,-10.5685,-59.9289,-17.6171,-16.2271,4.0815,5.0263,12.7655,12.2277,9.9902
3866.HK,青岛银行,11.1445,10.2754,9.4781,9.0071,9.2900,7.9536,8.0309,7.6912,8.7841,12.1964,13.7416
6188.HK,迪信通,,,-252.4335,-48.6181,-142.9794,2.7487,6.6226,9.1647,9.8609,12.1580,13.8589
3988.HK,中国银行,8.2656,8.7349,9.1714,9.7766,10.1586,9.9159,10.8180,11.5848,11.8587,12.1163,13.9705
1578.HK,天津银行,5.5712,5.7281,6.0657,6.1206,5.8197,8.3218,9.3393,9.1812,9.1298,12.1018,15.9377
1211.HK,比亚迪股份,15.1180,24.8437,24.0481,16.1305,4.0083,7.4523,2.8840,5.0456,7.6538,12.0937,9.7934
6166.HK,剑桥科技,5.3992,7.4935,4.6766,9.3295,3.9474,-18.6991,1.8823,7.0133,6.9796,12.0538,27.8800
0998.HK,中信银行,8.7286,9.1041,9.6939,9.6155,9.5042,9.2251,10.0663,10.6452,10.9303,11.9458,14.2559
1339.HK,中国人民保险集团,15.9872,16.4629,9.6013,11.1000,10.1846,10.3832,13.1558,8.8869,12.2131,11.7629,18.7290
3332.HK,中生联合,6.0822,8.9520,14.9891,-4.3563,-9.1558,-12.8259,-38.3674,-17.1149,0.5472,11.7267,21.0809
0914.HK,海螺水泥,4.4513,4.3154,5.7962,8.6401,19.2903,23.5312,26.9402,29.6174,19.2177,11.7084,11.0865
0874.HK,白云山,8.0961,8.0072,12.1093,12.9779,13.4761,11.5846,13.9041,16.9689,11.3851,11.6920,16.0635
3768.HK,滇池水务,3.6828,5.1616,6.5826,7.1008,7.7830,8.3455,9.2305,9.1785,10.1084,11.6680,10.4541
3328.HK,交通银行,7.9238,8.3846,8.7834,9.2703,9.5651,9.4314,10.3618,10.7525,10.8012,11.5478,13.2270
1075.HK,首都信息,10.4973,-1.2127,-6.0566,10.6864,1.5793,11.1498,12.0868,6.1166,8.1009,11.5369,11.4004
1186.HK,中国铁建,5.4934,6.9630,8.6943,9.5274,9.4403,9.6468,10.6344,11.2341,11.4450,11.5293,12.4832
0357.HK,美兰空港,-7.0942,-9.1553,-3.1328,-3.4731,18.4324,-30.1979,11.9343,14.4843,12.5001,11.3471,14.3717
1800.HK,中国交通建设,4.8034,7.7554,8.4747,7.3996,7.2605,6.9336,9.4044,10.4835,12.3105,11.2466,12.0248
1766.HK,中国中车,7.7332,7.5133,7.4120,7.6764,7.0664,8.1251,8.9237,9.0434,9.5387,11.1972,17.2016
1708.HK,三宝科技,-6.2570,-29.6790,0.1257,-16.1548,-3.1750,-7.0859,5.2916,9.9056,11.2344,11.1132,11.7759
2163.HK,远大住工,,,-12.6744,-21.7543,0.7824,5.2120,19.2067,16.6844,7.3691,11.1019,10.5993
8329.HK,海王英特龙,-5.1548,2.7169,2.6924,6.3424,4.4299,4.7189,8.2083,7.1360,8.0447,11.0325,4.0229
6826.HK,昊海生物科技,4.5650,7.4910,7.4542,3.2146,6.2875,4.2039,8.1793,12.1707,12.2012,10.9615,16.7978
0995.HK,安徽皖通高速公路,14.3354,12.8256,13.4522,12.3634,13.2984,8.2933,10.4307,11.4075,11.9163,10.9250,11.7087
2281.HK,兴泸水务,3.6816,6.1886,7.7245,7.9505,10.3992,9.9307,9.7753,8.4044,8.5369,10.9124,15.9215
1577.HK,汇鑫小贷,7.9770,7.7109,5.6672,5.4443,3.8444,3.7913,6.0479,8.6013,9.4022,10.9071,12.4082
3347.HK,泰格医药,4.2656,1.9413,9.9589,10.6632,16.7685,17.1693,23.7812,21.4310,16.4965,10.6993,16.7510
6866.HK,佐力科创,3.0110,3.1792,4.8216,4.9614,6.4513,6.5153,7.9996,8.6392,10.3099,10.6007,12.3851
0753.HK,中国国航,-4.0801,-0.5649,-3.4168,-90.9227,-23.9510,-16.8460,6.8808,8.2036,9.3568,10.5940,12.4217
1812.HK,晨鸣纸业,-164.9301,-57.3406,-7.1627,0.9917,9.5258,6.9247,6.5974,9.5020,15.0781,10.5601,6.6337
6806.HK,申万宏源,8.7875,5.0853,4.7199,2.9317,10.2330,9.0478,7.5167,6.6779,8.5574,10.5502,33.8746
2865.HK,钧达股份,-37.5201,-13.7528,28.3206,69.8553,-17.4305,1.3769,1.8723,4.7392,9.6042,10.4868,9.5863
0598.HK,中国外运,9.9479,10.1271,11.6196,11.9716,11.6871,9.3550,10.8505,12.1795,12.3748,10.4471,10.4626
3908.HK,中金公司,8.2479,5.1778,6.0416,8.2757,13.8125,12.0196,9.3697,8.8532,10.0314,10.4346,15.9829
2607.HK,上海医药,7.7586,6.4943,5.5580,9.6496,10.7555,10.3345,10.1174,10.6266,10.7249,10.3858,9.9632
0670.HK,中国东方航空股份,-3.9456,-9.8708,-22.0239,-88.0323,-22.2348,-18.8987,5.0261,4.7597,12.1019,10.3568,13.4659
1776.HK,广发证券,9.0227,6.8028,5.4543,6.9932,10.6004,10.6001,8.5547,5.0628,10.5217,10.2917,22.5408
1799.HK,新特能源,-3.7524,-11.2847,12.7396,51.6924,30.8750,5.9194,3.7552,11.5224,12.2589,10.2283,10.4117
1459.HK,巨匠建设,-3.6432,0.3123,0.6549,3.4296,6.0771,7.9115,9.8864,14.1474,11.6572,10.1387,13.6858
2611.HK,国泰海通,11.0972,7.7124,5.7746,7.5501,10.5551,8.0931,6.6196,5.4410,8.8587,10.0788,22.8592
0902.HK,华能国际电力股份,9.9449,7.2089,6.5696,-7.0186,-8.7579,1.9928,0.7541,0.8067,1.8196,10.0155,17.6986
6099.HK,招商证券,9.2098,8.2382,7.3920,7.0915,10.6718,9.9501,8.7861,5.5329,8.3217,9.9900,24.2718
1216.HK,中原银行,3.7227,3.6453,3.5447,4.8527,5.9680,5.7402,5.6699,4.8231,9.5982,9.9286,
3996.HK,中国能源建设,4.9495,7.4146,7.5214,7.9650,7.9994,7.3961,9.3375,9.1794,11.2723,9.9140,12.0861
0552.HK,中国通信服务,7.7406,8.1962,8.6437,8.5268,8.4058,8.6459,9.1164,9.5658,9.8874,9.8813,9.7693
6613.HK,蓝思科技,7.7505,7.6296,6.6762,5.6404,4.8819,15.1723,12.5274,3.7710,13.3218,9.8546,17.2989
1066.HK,威高股份,6.7372,8.9465,9.0752,13.3052,12.1958,12.0374,12.0189,10.5766,13.7270,9.8197,10.8527
1065.HK,天津创业环保股份,8.6546,8.5914,9.8310,9.6317,10.1110,8.9310,8.4573,9.1661,10.3079,9.6915,7.7124
3396.HK,联想控股,1.9256,0.2393,-6.4814,1.8846,9.4572,6.3949,6.1129,7.7950,9.4618,9.6062,11.5206
0390.HK,中国中铁,6.3108,8.1190,10.5713,10.8559,10.4156,10.5719,11.4683,9.9171,11.3408,9.5832,10.9230
1787.HK,山东黄金,13.6069,12.1023,9.8295,5.1716,-0.9239,9.2910,5.7457,4.2747,6.9610,9.5709,6.3480
1528.HK,红星美凯龙,-66.8707,-6.9819,-4.5403,1.2516,4.0325,3.7106,10.2476,10.9018,9.7212,9.5403,10.9883
0694.HK,北京首都机场股份,-4.7886,-9.8064,-10.7757,-19.1771,-9.9806,-8.6216,10.0028,12.8094,12.7448,9.4615,9.2577
8095.HK,北大青鸟环宇,4.2926,2.7070,5.4339,9.9037,5.1861,2.1997,60.5986,8.3573,10.5254,9.3641,6.3862
6839.HK,云南水务,,-151.5216,-29.0942,-31.3805,-21.8046,4.4958,8.5568,8.7482,9.6344,9.3528,8.8737
0548.HK,深圳高速公路股份,4.6975,5.1740,10.6497,8.7598,10.9318,9.9210,13.9786,22.1902,10.8502,9.3386,12.8497
2596.HK,宜宾银行,5.3452,5.4989,5.4025,5.3892,5.2860,7.1338,3.7899,4.0914,5.4898,9.2840,13.5838
2601.HK,中国太保,18.0285,16.6210,11.4038,10.8127,12.1430,12.4903,16.9151,12.5536,10.8905,9.0962,14.1560
2691.HK,南华期货股份,10.0146,11.7149,11.4490,7.7448,8.8674,3.8564,3.5493,6.2366,9.6233,9.0780,5.2937
0916.HK,龙源电力,6.2845,8.9552,9.1424,7.8121,10.6334,9.0859,8.9405,8.7368,8.8398,8.9849,8.0965
6881.HK,中国银河,8.6864,7.4043,6.7613,7.7010,11.5756,9.5217,7.6396,4.4249,6.4991,8.9703,22.8900
2357.HK,中航科工,5.1043,6.6568,8.1981,8.0551,9.5801,9.7225,7.8041,8.1739,8.6967,8.8104,7.5607
