证券代码,证券简称,"净资产收益率ROE(平均)
[报告期] 2025年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2024年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2023年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2022年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2021年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2020年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2019年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2018年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2017年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2016年报
[单位] %","净资产收益率ROE(平均)
[报告期] 2015年报
[单位] %"
600519.SH,贵州茅台,34.4620,38.4283,36.1755,32.4077,29.9036,31.4108,33.1177,34.4643,32.9542,24.4385,26.4205
600522.SH,中天科技,8.0044,8.3281,9.8695,11.2901,0.6829,10.1747,9.7203,11.5041,12.1033,14.3136,10.9106
600547.SH,山东黄金,13.6069,12.1023,9.8295,5.1716,-0.9239,9.2910,5.7457,4.2747,6.9610,9.5709,6.3480
600570.SH,恒生电子,13.2998,12.4978,19.1948,17.4479,28.5595,29.2646,36.9651,20.6370,17.2167,0.7569,20.8704
600584.SH,长电科技,5.5614,5.9965,5.8006,14.1605,17.2064,10.0233,0.7116,-8.6424,4.8911,2.3888,1.2883
600585.SH,海螺水泥,4.4513,4.3154,5.7962,8.6401,19.2903,23.5312,26.9402,29.6174,19.2177,11.7084,11.0865
600588.SH,用友网络,-17.5350,-22.4067,-8.9497,2.3760,9.7418,13.4361,17.2155,9.8573,6.7448,3.5226,6.8121
600600.SH,青岛啤酒,15.3681,15.3778,16.1220,15.3026,14.4667,11.0637,9.9731,8.1001,7.5496,6.3682,10.7590
600660.SH,福耀玻璃,25.4182,22.3336,18.6226,17.1876,13.1278,12.0973,13.9366,21.0105,16.9891,18.2383,20.6419
600674.SH,川投能源,10.9258,11.3788,12.4107,10.8055,10.2839,11.3068,11.3437,15.0933,15.1836,18.1576,23.3022
600690.SH,海尔智家,16.9979,17.4432,16.8551,16.9839,17.8233,15.4782,18.7290,20.4085,23.1603,20.5332,19.3145
600741.SH,华域汽车,11.1577,11.1687,13.0295,14.0533,12.6740,10.5986,13.6372,18.5282,16.5127,18.5905,18.8003
600760.SH,中航沈飞,17.3166,21.0992,21.5317,19.0097,15.7295,15.7162,10.6071,9.9127,18.6679,6.6687,-44.1251
600795.SH,国电电力,12.4002,18.7621,11.9557,6.2174,-3.7367,4.9264,3.5694,2.6777,4.2954,9.2326,8.9474
600803.SH,新奥股份,19.4593,19.0701,34.3956,36.0554,35.7201,24.0990,13.4631,19.2950,13.0149,11.7860,18.4031
600809.SH,山西汾酒,32.9260,39.1204,42.4678,44.3079,42.5094,35.7553,28.3799,25.6190,18.8891,13.1767,12.5196
600845.SH,宝信软件,11.6310,19.9552,24.0342,23.0578,22.3171,18.1308,12.8571,11.7414,9.5220,8.3253,9.6643
600875.SH,东方电气,9.1188,7.6856,9.8313,8.4608,7.2203,6.1694,4.4028,4.4790,3.1331,-8.0745,2.0616
600886.SH,国投电力,10.9834,10.9754,11.8062,7.6989,4.9388,12.5914,12.1819,12.7892,10.9134,14.1749,21.8415
