证券代码,证券简称,"总资产报酬率ROA
[报告期] 2025年报
[单位] %","总资产报酬率ROA
[报告期] 2024年报
[单位] %","总资产报酬率ROA
[报告期] 2023年报
[单位] %","总资产报酬率ROA
[报告期] 2022年报
[单位] %","总资产报酬率ROA
[报告期] 2021年报
[单位] %","总资产报酬率ROA
[报告期] 2020年报
[单位] %","总资产报酬率ROA
[报告期] 2019年报
[单位] %","总资产报酬率ROA
[报告期] 2018年报
[单位] %","总资产报酬率ROA
[报告期] 2017年报
[单位] %","总资产报酬率ROA
[报告期] 2016年报
[单位] %","总资产报酬率ROA
[报告期] 2015年报
[单位] %"
1768.HK,鸣鸣很忙,28.5972,13.7457,8.5827,10.9281,,,,,,,
1772.HK,赣锋锂业,2.4876,-1.2517,7.1156,39.2270,19.7649,7.6935,4.0094,13.3622,39.4414,35.1506,11.1555
1776.HK,广发证券,,,,,,,,,,,
1779.HK,天辰生物-B,-84.3237,-72.2376,-54.4575,,,,,,,,
1785.HK,成都高速,9.2385,9.2871,9.5897,8.3990,10.1304,6.2094,9.7359,11.4441,10.4407,8.3618,9.4602
1786.HK,铁建装备,1.3993,1.3127,1.3321,1.2043,0.0752,-0.1883,1.9189,2.4097,1.0899,7.7476,9.6417
1787.HK,山东黄金,6.5581,5.0286,4.3099,3.3211,0.8607,6.2424,5.2248,4.2286,5.5401,7.2880,5.5391
1798.HK,大唐新能源,3.3326,4.3535,5.3328,6.3359,4.8319,4.6950,4.6382,5.2891,4.2117,3.2794,3.4396
1799.HK,新特能源,-0.6421,-4.1925,8.1031,25.4852,13.5231,3.4792,2.4333,4.6217,5.0046,4.4127,4.4302
1800.HK,中国交通建设,1.3065,1.9717,2.2187,2.1932,2.4939,2.6902,3.1488,3.4701,3.6422,3.9235,3.7540
1812.HK,晨鸣纸业,-13.4691,-8.6240,-0.0029,2.3373,5.0076,4.6542,4.7087,5.5584,7.0273,5.2568,4.0868
1816.HK,中广核电力,4.9821,6.3887,6.3124,6.1731,6.3404,6.3339,6.4010,5.6555,6.1567,5.3161,6.3005
1818.HK,招金矿业,10.6993,5.5229,3.7394,2.8622,2.1510,5.0959,2.8431,3.2628,3.7863,3.4505,3.6209
1835.HK,瑞威资管,,,,,,,,,,,
1847.HK,云南建投混凝土,-4.3162,-3.1564,-0.5593,0.9884,0.2697,6.8947,7.5161,7.5470,10.9853,48.9308,
1853.HK,春城热力,3.4992,3.9642,5.4027,5.1976,5.3753,6.9807,7.3585,5.9595,4.0419,4.2065,
1858.HK,春立医疗,8.0392,3.2419,8.2594,9.9860,15.7115,23.5390,26.3624,15.7484,12.4895,14.4856,12.1171
1877.HK,君实生物,-7.8607,-11.8008,-20.5598,-22.3967,-5.9892,-26.3819,-17.9509,-26.2736,-27.3051,-15.1140,-15.4950
1879.HK,曦智科技-P,-115.9408,-72.1122,-47.7756,,,,,,,,
1880.HK,中国中免,6.1806,8.3054,11.7281,12.0788,29.4670,23.1043,18.6170,19.5295,19.0936,15.4101,14.2227
1898.HK,中煤能源,6.6686,9.2524,10.6436,11.5910,10.4012,5.8465,6.6093,5.3221,4.2876,2.6829,0.1653
