证券代码,证券简称,"总资产报酬率ROA
[报告期] 2025年报
[单位] %","总资产报酬率ROA
[报告期] 2024年报
[单位] %","总资产报酬率ROA
[报告期] 2023年报
[单位] %","总资产报酬率ROA
[报告期] 2022年报
[单位] %","总资产报酬率ROA
[报告期] 2021年报
[单位] %","总资产报酬率ROA
[报告期] 2020年报
[单位] %","总资产报酬率ROA
[报告期] 2019年报
[单位] %","总资产报酬率ROA
[报告期] 2018年报
[单位] %","总资产报酬率ROA
[报告期] 2017年报
[单位] %","总资产报酬率ROA
[报告期] 2016年报
[单位] %","总资产报酬率ROA
[报告期] 2015年报
[单位] %"
002475.SZ,立讯精密,7.7825,8.6067,8.5421,8.6941,8.5451,14.0484,13.7491,10.8726,8.8367,8.9071,12.5603
600803.SH,新奥股份,9.1051,10.1565,10.9074,11.1332,12.0854,15.5885,5.8364,9.2644,6.7423,7.2621,12.0887
600588.SH,用友网络,-5.3582,-7.6410,-3.0259,1.9366,4.9508,6.5307,9.2681,7.2151,5.8743,2.8418,4.3768
300059.SZ,东方财富,3.9818,4.0431,4.1319,4.8718,6.9004,6.4074,4.1465,3.1284,1.8571,2.8782,14.5134
600085.SH,同仁堂,6.3568,9.1748,10.7840,10.4262,9.9836,9.2748,9.2627,11.2928,11.8259,11.9720,12.7650
600009.SH,上海机场,4.8545,4.5598,2.0225,-6.4178,-5.3886,-4.3074,18.9680,19.2554,17.3246,13.5816,13.1338
002648.SZ,卫星化学,10.0673,10.5625,8.8752,6.5569,17.2601,7.5884,9.8121,9.4308,12.5281,6.0110,-3.6413
603260.SH,合盛硅业,-1.8777,3.5848,5.0129,15.0333,38.9426,8.5551,9.0590,23.1719,18.3992,12.9703,8.6696
601888.SH,中国中免,6.1806,8.3054,11.7281,12.0788,29.4670,23.1043,18.6170,19.5295,19.0936,15.4101,14.2227
600183.SH,生益科技,14.9424,8.1303,5.0693,7.1444,15.4718,12.2909,13.6327,9.5046,12.4655,10.4666,8.1715
600161.SH,天坛生物,11.2205,16.7299,13.2597,11.6343,12.9822,15.9485,17.9251,19.6968,29.2653,8.2778,5.2883
600438.SH,通威股份,-4.6668,-3.7087,14.2449,32.8393,13.6257,7.6955,8.6113,8.1997,10.7697,10.1135,8.5185
600522.SH,中天科技,5.4759,5.7077,7.2796,8.5301,1.4940,7.2501,6.9404,8.7602,9.0515,10.6993,9.2532
000999.SZ,华润三九,9.9085,11.4510,11.1621,11.5240,10.2566,9.7803,13.3755,10.0107,10.3292,11.4897,13.5324
000977.SZ,浪潮信息,3.1889,3.3994,4.0993,5.4576,5.1095,4.9766,4.2920,5.5228,4.8515,5.3014,9.2337
002384.SZ,东山精密,3.6170,3.7380,5.8591,8.8916,5.5950,6.2424,4.2478,4.9533,4.8136,3.0156,2.0466
603288.SH,海天味业,18.5312,19.0133,18.6277,21.8963,22.9800,28.1554,27.0997,27.7983,27.7326,27.3490,26.7688
002050.SZ,三花智控,11.0000,11.0098,12.4528,12.5387,9.6445,10.6341,11.7513,11.9687,14.4504,12.7115,10.3645
000568.SZ,泸州老窖,21.2454,26.9193,31.0533,29.2921,26.9773,24.8369,22.8967,20.9750,19.8768,18.3871,14.4657
002311.SZ,海大集团,11.3619,12.4094,7.9073,9.5704,7.7934,14.1622,12.6356,12.6020,13.3552,11.9937,13.3894
601012.SH,隆基绿能,-4.8558,-6.5926,7.9000,13.8266,11.0399,13.5994,13.0806,8.6781,16.1825,12.7784,8.0695
002179.SZ,中航光电,6.3355,9.5501,11.0826,10.1354,9.7951,9.7879,9.1645,9.8681,10.9615,11.6596,10.8861
600515.SH,海南机场,1.2048,1.5396,3.5449,4.4918,1.8610,-10.6265,0.6821,4.9055,4.2737,7.2825,6.3506
002236.SZ,大华股份,7.6095,4.9226,16.3852,5.0652,8.6041,12.8440,12.2852,11.6329,14.5001,14.8779,15.9016
603259.SH,药明康德,26.4463,15.2077,18.9697,17.9912,12.1160,9.4410,9.1579,15.0991,13.9551,13.5831,8.7127
000938.SZ,紫光股份,3.7028,3.5040,5.0543,6.4542,6.7449,6.6830,7.1561,7.1613,7.5915,5.2201,6.0607
600845.SH,宝信软件,6.4209,11.3680,13.6035,12.2726,12.6112,12.1775,10.1713,8.1601,6.1472,5.8515,6.4177
300750.SZ,宁德时代,9.2634,9.0901,8.7915,8.5416,8.5668,5.4135,5.6744,6.3474,12.4493,18.8495,21.1972
688303.SH,大全能源,-2.9016,-7.0889,13.3439,59.8904,43.7366,13.5042,4.1323,9.3756,19.3830,9.4123,3.4183
300274.SZ,阳光电源,14.2089,14.0805,16.3025,8.3146,5.3433,8.5850,5.2438,5.5023,8.4878,7.2919,8.3300
002916.SZ,深南电路,13.1432,8.4467,6.4536,9.5471,11.0082,12.2459,14.1637,10.4904,9.2650,8.2501,5.8760
688981.SH,中芯国际,2.0670,1.2597,1.4417,4.9814,5.1235,2.6795,0.6918,0.3920,1.0820,3.7338,3.6925
002601.SZ,龙佰集团,3.0311,5.5574,6.7552,7.9886,14.5485,10.1345,13.6363,13.4667,16.4044,5.1793,3.5204
600760.SH,中航沈飞,5.7051,6.2074,5.9420,4.2947,3.8985,5.5996,3.2455,2.7578,5.8044,2.5314,-9.4361
600482.SH,中国动力,3.1677,2.4444,1.1657,0.4758,1.2637,1.1550,2.1861,3.6346,3.7504,6.6001,6.2500
600346.SH,恒力石化,5.1570,5.2666,3.5349,1.0668,12.1693,9.8725,10.9289,7.6026,12.2238,16.2550,-5.6327
000596.SZ,古井贡酒,11.5851,19.6114,19.4206,16.1951,15.6203,17.0269,21.0201,20.4332,16.7484,14.0562,13.7915
002463.SZ,沪电股份,17.4822,15.3874,11.3573,13.0659,11.3113,16.3832,18.2360,10.7940,5.2587,3.6890,0.5364
002714.SZ,牧原股份,10.1278,11.4013,-0.6080,9.5406,5.0755,34.6098,16.5298,3.9019,14.4363,24.8234,12.7858
002371.SZ,北方华创,7.8116,11.0118,9.2863,7.7561,5.1575,4.3783,4.3356,4.3939,3.1609,3.6835,2.7241
600809.SH,山西汾酒,30.2860,33.8537,35.1689,32.6403,28.5143,23.6377,19.6440,20.6469,16.7032,12.7536,11.9106
002001.SZ,新和成,17.6866,17.3391,8.4045,11.6176,15.3406,13.8384,10.8320,18.3000,14.6154,14.4915,5.1716
300251.SZ,光线传媒,18.8704,3.3642,5.1794,-7.4142,-2.4416,3.1198,10.4526,17.1568,8.1467,9.5356,7.2013
603019.SH,中科曙光,6.2330,6.7140,6.8714,6.5790,6.0966,5.5788,5.8622,5.7800,5.5096,6.2390,6.3500
000708.SZ,中信特钢,7.1372,5.2064,6.3282,10.0010,11.7103,10.0046,17.6222,8.0026,7.3136,6.1001,6.1728
600160.SH,巨化股份,15.6815,9.8997,4.6794,13.4514,6.4062,0.8814,6.8131,18.4928,9.7490,2.3827,2.7105
002028.SZ,思源电气,13.9379,11.5928,10.3483,8.9863,11.2341,11.1938,7.5901,4.2134,4.5099,7.5028,8.2540
000617.SZ,中油资本,0.9882,1.2559,1.2793,1.2919,1.4158,1.9962,2.0375,1.9556,1.9720,3.7388,-1.6019
600460.SH,士兰微,1.2840,0.3890,-0.2786,9.1171,14.6371,-0.4022,-0.3395,2.1829,3.1740,2.8690,1.6676
002920.SZ,德赛西威,10.1305,10.7996,9.9074,10.0619,9.6334,7.2357,4.2690,7.0462,13.4179,18.6383,16.1814
