sample,winsor,benchmark,n_train_valid_target,n_soe_predicted,actual_mean,predicted_mean,mean_gap,median_gap,positive_gap_share,actual_asset_weighted,predicted_asset_weighted,asset_weighted_gap,net_implied_gap_amount,positive_only_gap_amount,target_lower,target_upper
overlap,2-97,H_nonSOE,1010,816,0.1144255024509804,0.08985541659458444,-0.02457008585639594,-0.012956710944175664,0.4571078431372549,0.09466526733606238,0.09685695516204007,0.0021916878259776867,559045616888.7578,11234858560709.727,-0.8921777750000001,0.6475364749999999
baseline,2-97,CSI_nonSOE,684,816,0.1144255024509804,0.11292022916496054,-0.0015052732860198427,-0.00010726529670290058,0.5,0.09466526733606238,0.09444161954356516,-0.000223647792497228,-57047046865.19824,8812369187263.621,-0.21845599999999998,0.5389015749999992
common_support,2-97,CSI_nonSOE,684,557,0.13320904129263916,0.12436575975814686,-0.00884328153449229,0.005118361731229398,0.5278276481149012,0.1314174937910538,0.10026029976188715,-0.031157194029166654,-2081820071478.6108,1802725057155.939,-0.21845599999999998,0.5389015749999992
psm,2-97,CSI_nonSOE,447,816,0.1144255024509804,0.10553712089870373,-0.008888381552276664,0.004812676391325869,0.5220588235294118,0.09466526733606238,0.08408845002156025,-0.010576817314502135,-2697885752806.912,7213897226176.084,-0.074569,0.32210164999999996
cem,2-97,CSI_nonSOE,623,816,0.1144255024509804,0.10921245493156913,-0.00521304751941125,-0.0012028029130083592,0.49142156862745096,0.09466526733606238,0.08794773254451069,-0.006717534791551696,-1713477775896.063,8237837476726.049,-0.22252865,0.5310645499999989
entropy,2-97,CSI_nonSOE,684,816,0.1144255024509804,0.11292022916496054,-0.0015052732860198427,-0.00010726529670290058,0.5,0.09466526733606238,0.09444161954356516,-0.000223647792497228,-57047046865.19824,8812369187263.621,-0.21845599999999998,0.5389015749999992
overlap,2-97,CSI_nonSOE,684,816,0.1144255024509804,0.11292022916496054,-0.0015052732860198427,-0.00010726529670290058,0.5,0.09466526733606238,0.09444161954356516,-0.000223647792497228,-57047046865.19824,8812369187263.621,-0.21845599999999998,0.5389015749999992
baseline,2-97,Pooled_H_plus_CSI_nonSOE,1694,816,0.1144255024509804,0.1478756164404288,0.033450113989448395,0.03682972096505366,0.6384803921568627,0.09466526733606238,0.15924926789647906,0.06458400056041667,16473788833651.934,20339172867711.19,-0.617566975,0.5969877749999997
common_support,2-97,Pooled_H_plus_CSI_nonSOE,1694,566,0.13295319787985865,0.15554515149859288,0.022591953618734232,0.03206989085854215,0.607773851590106,0.13355553036695506,0.15537529642432282,0.021819766057367768,1371275582213.1604,3926790599297.769,-0.617566975,0.5969877749999997
psm,2-97,Pooled_H_plus_CSI_nonSOE,502,816,0.1144255024509804,0.11768592016651237,0.0032604177155319755,0.008213327901751187,0.5477941176470589,0.09466526733606238,0.0891406218087241,-0.005524645527338279,-1409201087086.7505,8170362652421.215,-0.05518124999999999,0.351523
cem,2-97,Pooled_H_plus_CSI_nonSOE,1360,816,0.1144255024509804,0.13495963541542466,0.02053413296444426,0.01812649757535592,0.5931372549019608,0.09466526733606238,0.1487241643532211,0.05405889701715873,13789093990975.637,18224385130244.695,-0.48158884999999996,0.5240524749999977
entropy,2-97,Pooled_H_plus_CSI_nonSOE,1694,816,0.1144255024509804,0.1478756164404288,0.033450113989448395,0.03682972096505366,0.6384803921568627,0.09466526733606238,0.15924926789647906,0.06458400056041667,16473788833651.934,20339172867711.19,-0.617566975,0.5969877749999997
overlap,2-97,Pooled_H_plus_CSI_nonSOE,1694,816,0.1144255024509804,0.1478756164404288,0.033450113989448395,0.03682972096505366,0.6384803921568627,0.09466526733606238,0.15924926789647906,0.06458400056041667,16473788833651.934,20339172867711.19,-0.617566975,0.5969877749999997
baseline,1-99,H_nonSOE,1010,816,0.1144255024509804,0.07818745578121954,-0.036238046669760854,-0.013289856509950938,0.45588235294117646,0.09466526733606238,0.09102777172162121,-0.003637495614441169,-927835595746.0752,11191392639146.482,-1.2806193000000001,1.0887653499999983
common_support,1-99,H_nonSOE,1010,360,0.11576663888888888,0.1027042270288732,-0.013062411860015668,-0.005329234885571077,0.4861111111111111,0.09985756552663771,0.12853016731072328,0.028672601784085566,1101344262251.0757,2706658865055.0205,-1.2806193000000001,1.0887653499999983
psm,1-99,H_nonSOE,316,816,0.1144255024509804,0.11858467680938226,0.004159174358401854,0.0018022290397559926,0.5147058823529411,0.09466526733606238,0.13221074758940196,0.03754548025333958,9576927845666.027,16433284831110.598,0.0408852,0.3051686000000003
cem,1-99,H_nonSOE,737,816,0.1144255024509804,0.07849611497236651,-0.03592938747861387,-0.033009444470087024,0.37745098039215685,0.09466526733606238,0.09796526434064608,0.0032999970045836935,841748007764.5571,11566084836757.64,-0.9336220799999999,0.7452057599999999
entropy,1-99,H_nonSOE,1010,816,0.1144255024509804,0.07818745578121954,-0.036238046669760854,-0.013289856509950938,0.45588235294117646,0.09466526733606238,0.09102777172162121,-0.003637495614441169,-927835595746.0752,11191392639146.482,-1.2806193000000001,1.0887653499999983
overlap,1-99,H_nonSOE,1010,816,0.1144255024509804,0.07818745578121954,-0.036238046669760854,-0.013289856509950938,0.45588235294117646,0.09466526733606238,0.09102777172162121,-0.003637495614441169,-927835595746.0752,11191392639146.482,-1.2806193000000001,1.0887653499999983
baseline,1-99,CSI_nonSOE,684,816,0.1144255024509804,0.11255122321887337,-0.0018742792321070352,-0.0001765982314892577,0.49754901960784315,0.09466526733606238,0.08608625465146395,-0.00857901268459843,-2188294966879.403,7913048416712.721,-0.34631216,0.6961721799999997
common_support,1-99,CSI_nonSOE,684,557,0.13320904129263916,0.1256609586693746,-0.007548082623264526,0.004664853904464805,0.526032315978456,0.1314174937910538,0.10066224718050824,-0.03075524661054556,-2054963281904.394,1783818796039.5195,-0.34631216,0.6961721799999997
psm,1-99,CSI_nonSOE,447,816,0.1144255024509804,0.10350293368904206,-0.010922568761938338,0.01629954203791944,0.5600490196078431,0.09466526733606238,0.09562525050391138,0.0009599831678489962,244868076517.03613,12117769352130.586,-0.6309400000000001,0.351523
cem,1-99,CSI_nonSOE,623,816,0.1144255024509804,0.10976525690679172,-0.004660245544188679,-0.002494476892208216,0.48284313725490197,0.09466526733606238,0.08157937649160146,-0.01308589084446092,-3337888650459.248,7572559571678.803,-0.35939544,0.678942879999998
entropy,1-99,CSI_nonSOE,684,816,0.1144255024509804,0.11255122321887337,-0.0018742792321070352,-0.0001765982314892577,0.49754901960784315,0.09466526733606238,0.08608625465146395,-0.00857901268459843,-2188294966879.403,7913048416712.721,-0.34631216,0.6961721799999997
overlap,1-99,CSI_nonSOE,684,816,0.1144255024509804,0.11255122321887337,-0.0018742792321070352,-0.0001765982314892577,0.49754901960784315,0.09466526733606238,0.08608625465146395,-0.00857901268459843,-2188294966879.403,7913048416712.721,-0.34631216,0.6961721799999997
baseline,1-99,Pooled_H_plus_CSI_nonSOE,1694,816,0.1144255024509804,0.15221832896290843,0.03779282651192804,0.04378320229221366,0.6458333333333334,0.09466526733606238,0.16408613687081583,0.06942086953475345,17707555051412.414,22000470562958.188,-1.08894211,0.7630610199999994
common_support,1-99,Pooled_H_plus_CSI_nonSOE,1694,566,0.13295319787985865,0.16244528510251435,0.029492087222655675,0.03986719868490849,0.627208480565371,0.13355553036695506,0.16192923984680097,0.02837370947984591,1783161876448.482,4214476147683.808,-1.08894211,0.7630610199999994
psm,1-99,Pooled_H_plus_CSI_nonSOE,502,816,0.1144255024509804,0.11778933690546764,0.0033638344544872443,0.0034059722525600425,0.5049019607843137,0.09466526733606238,0.06140140034372826,-0.03326386699233412,-8484793692979.333,6082906228472.223,-0.111479,0.74232
cem,1-99,Pooled_H_plus_CSI_nonSOE,1360,816,0.1144255024509804,0.1368703397101928,0.022444837259212414,0.017907008413220512,0.5943627450980392,0.09466526733606238,0.148665420998706,0.054000153662643616,13774110007182.984,18157281572023.953,-0.66181826,0.7205307100000008
entropy,1-99,Pooled_H_plus_CSI_nonSOE,1694,816,0.1144255024509804,0.15221832896290843,0.03779282651192804,0.04378320229221366,0.6458333333333334,0.09466526733606238,0.16408613687081583,0.06942086953475345,17707555051412.414,22000470562958.188,-1.08894211,0.7630610199999994
overlap,1-99,Pooled_H_plus_CSI_nonSOE,1694,816,0.1144255024509804,0.15221832896290843,0.03779282651192804,0.04378320229221366,0.6458333333333334,0.09466526733606238,0.16408613687081583,0.06942086953475345,17707555051412.414,22000470562958.188,-1.08894211,0.7630610199999994
