市场,证券代码,证券简称,一级行业,二级行业,行业全路径,企业所有制性质,资产总计_2024,营业收入_2024,归母净利润_2025,利息支出_2025,资产总计_2025,EBI_A_2025,FirmSize_2024,MarketShare_2024_二级行业,HHI_2024_二级行业,AssetTurnover_2024,WorkingCapitalRatio_2024,FixedAssetsRatio_2024,FinancialLeverage_2024,CurrentRatio_2024,CapexRatio_2024
H,1318.HK,毛戈平,日常消费,家庭用品,日常消费--家庭用品--美容护理Ⅲ--美容护理Ⅳ,民营企业,"4,473,469,000.00","3,884,694,000.00","1,204,094,000.00","2,322,000.00","5,532,985,000.00",0.218041,22.221430,0.307461,0.396222,1.182909,0.557917,0.062343,0.216822,3.623363,0.137680
H,1333.HK,博雷顿,工业,电气设备,工业--电气设备--电气设备Ⅲ--电气部件与设备,民营企业,"1,438,339,429.00","635,456,675.00","-318,629,000.00","18,796,000.00","2,247,228,000.00",-0.133423,21.086755,0.000773,0.233104,0.444351,0.246503,0.114926,0.525647,1.533097,0.082234
H,1384.HK,滴普科技,信息技术,软件服务,信息技术--软件服务--信息技术服务--信息科技咨询与其它服务,民营企业,"424,816,000.00","242,926,000.00","-934,559,000.00","1,281,000.00","1,083,455,000.00",-0.861391,19.867167,0.002732,0.463939,0.546029,-8.677992,0.007655,9.652956,0.100650,0.002519
H,1459.HK,巨匠建设,工业,建筑,工业--建筑--建筑与工程Ⅲ--建筑与工程Ⅳ,民营企业,"6,314,587,000.00","6,780,685,000.00","-57,409,000.00","29,262,000.00","5,563,194,000.00",-0.005060,22.566128,0.001665,0.215339,1.032071,0.202512,0.018976,0.740314,1.280548,0.000732
H,1497.HK,燕之屋,日常消费,日常消费零售,日常消费--日常消费零售--日常消费品经销与零售--食品零售,民营企业,"1,486,614,000.00","2,050,000,000.00","188,561,000.00","6,221,000.00","1,552,189,000.00",0.125489,21.119767,0.035252,0.199976,1.386725,0.270442,0.189976,0.483226,1.657500,0.076813
H,1513.HK,丽珠医药,医疗保健,医药生物,医疗保健--医药生物--制药--西药,民营企业,"24,455,825,697.18","11,812,338,854.68","2,023,249,327.79","57,205,595.79","23,985,471,448.48",0.086738,23.920134,0.021573,0.286802,0.477260,0.359610,0.184503,0.390503,2.153319,0.023314
H,1527.HK,天洁环境,工业,环保Ⅱ,工业--环保Ⅱ--环保Ⅲ--环境与设施服务,民营企业,"2,045,036,000.00","744,942,000.00","81,446,000.00","11,644,000.00","2,370,436,000.00",0.039271,21.438681,0.053151,0.294974,0.387800,0.332372,0.028114,0.533106,1.623463,0.000974
H,1541.HK,宜明昂科-B,医疗保健,医药生物,医疗保健--医药生物--生物科技Ⅲ--生物科技Ⅳ,民营企业,"921,996,000.00","74,149,000.00","-218,580,000.00","5,304,000.00","1,098,400,000.00",-0.194170,20.642051,0.000135,0.286802,0.082544,0.708567,0.029985,0.264308,4.043654,0.011284
H,1588.HK,畅捷通,信息技术,软件服务,信息技术--软件服务--软件--应用软件,民营企业,"1,694,662,000.00","959,273,000.00","81,587,000.00","569,000.00","1,893,690,000.00",0.043384,21.250749,0.010787,0.463939,0.584879,0.333124,0.001030,0.466989,1.934815,0.011290
H,1596.HK,翼辰实业,工业,机械,工业--机械--机械Ⅲ--工业机械,民营企业,"3,501,497,343.98","1,090,749,926.12","284,370,384.48","18,089,660.34","3,815,638,485.55",0.079269,21.976457,0.001182,0.177102,0.314306,0.346323,0.241049,0.316186,2.689678,0.024168
