市场,证券代码,证券简称,一级行业,二级行业,行业全路径,企业所有制性质,资产总计_2024,营业收入_2024,归母净利润_2025,利息支出_2025,资产总计_2025,EBI_A_2025,FirmSize_2024,MarketShare_2024_二级行业,HHI_2024_二级行业,AssetTurnover_2024,WorkingCapitalRatio_2024,FixedAssetsRatio_2024,FinancialLeverage_2024,CurrentRatio_2024,CapexRatio_2024
CSI,601857.SH,中国石油,能源,石油石化,能源--石油石化--石油天然气--综合性石油天然气,中央国有企业,"2,752,751,000,000.00","2,937,981,000,000.00","157,318,000,000.00","17,567,000,000.00","2,827,777,000,000.00",0.061845,28.643622,0.442325,0.406814,1.067348,-0.016882,0.570633,0.378940,0.927080,0.109945
CSI,601868.SH,中国能建,工业,建筑,工业--建筑--建筑与工程Ⅲ--建筑与工程Ⅳ,中央国有企业,"869,004,776,000.00","436,712,757,000.00","5,840,294,000.00","6,954,227,000.00","941,597,382,000.00",0.013588,27.490614,0.061638,0.174423,0.528656,0.011594,0.127901,0.763144,1.023043,0.052380
CSI,601872.SH,招商轮船,工业,交通运输,工业--交通运输--海上运输Ⅲ--海上运输Ⅳ,中央国有企业,"70,619,308,351.63","25,672,433,441.68","6,012,096,267.97","1,159,711,575.55","82,054,880,078.89",0.087403,24.980569,0.018482,0.116886,0.386011,-0.101025,0.665063,0.421558,0.592028,0.106915
CSI,601888.SH,中国中免,可选消费,可选消费零售,可选消费--可选消费零售--经销商Ⅲ--经销商Ⅳ,中央国有企业,"76,108,344,000.00","56,473,848,000.00","3,643,905,000.00","178,416,000.00","74,891,423,000.00",0.051038,25.055424,1.000000,1.000000,0.729775,0.591149,0.107038,0.201187,5.101675,0.014702
CSI,601898.SH,中煤能源,能源,煤炭Ⅱ,能源--煤炭Ⅱ--煤炭Ⅲ--煤炭与消费用燃料,中央国有企业,"357,794,496,000.00","181,907,551,000.00","14,497,092,000.00","2,149,057,000.00","370,517,742,000.00",0.044927,26.603225,0.211221,0.263097,0.514626,0.030435,0.393000,0.463299,1.106577,0.050505
CSI,601899.SH,紫金矿业,材料,有色金属,材料--有色金属--贵金属--黄金,地方国有企业,"396,610,730,026.00","303,639,957,153.00","51,777,327,785.00","3,932,640,491.00","512,005,142,450.00",0.108807,26.706221,0.169614,0.157470,0.821074,-0.002131,0.333734,0.551876,0.991529,0.062524
CSI,601919.SH,中远海控,工业,交通运输,工业--交通运输--海上运输Ⅲ--海上运输Ⅳ,中央国有企业,"497,472,214,000.00","233,859,079,000.00","30,859,651,000.00","3,013,024,000.00","483,758,024,000.00",0.070020,26.932806,0.168360,0.116886,0.487256,0.167499,0.303861,0.426986,1.678604,0.052262
CSI,601985.SH,中国核电,公用事业,公用事业Ⅱ,公用事业--公用事业Ⅱ--电力--电力公用事业,中央国有企业,"659,739,168,841.27","76,195,317,153.71","9,304,211,536.74","6,834,483,614.48","749,261,994,107.31",0.021539,27.215110,0.066502,0.118327,0.127097,-0.026619,0.780601,0.682650,0.827394,0.137491
CSI,603019.SH,中科曙光,信息技术,硬件设备,信息技术--硬件设备--电脑与外围设备--电脑硬件、储存设备及电脑周边,中央国有企业,"36,617,491,563.87","13,091,270,288.42","2,176,292,865.25","-67,880,099.25","40,953,741,117.01",0.051483,24.323792,0.005798,0.114376,0.383723,0.229408,0.098389,0.417578,2.503729,0.023476
CSI,603369.SH,今世缘,日常消费,食品饮料,日常消费--食品饮料--饮料--白酒与葡萄酒,地方国有企业,"24,221,898,385.69","9,858,939,849.04","2,603,690,665.79","-83,151,223.46","25,899,040,538.78",0.097322,23.910523,0.007719,0.097008,0.430028,0.229316,0.272964,0.361997,1.663303,0.074998
CSI,688009.SH,中国通号,工业,电气设备,工业--电气设备--电气设备Ⅲ--电气部件与设备,中央国有企业,"117,890,875,515.13","32,473,033,766.06","3,686,410,571.89","90,856,906.74","118,321,690,651.90",0.031924,25.493025,0.023985,0.107313,0.274171,0.236504,0.048914,0.572182,1.440999,0.007286
CSI,688187.SH,时代电气,工业,电气设备,工业--电气设备--电气设备Ⅲ--电气部件与设备,中央国有企业,"64,802,246,319.00","24,908,937,548.00","4,096,540,421.00","26,238,709.00","72,084,237,098.00",0.057194,24.894606,0.018398,0.107313,0.421446,0.427513,0.168321,0.309246,2.479153,0.053247
CSI,688396.SH,华润微,信息技术,半导体,信息技术--半导体--半导体产品--集成电路,中央国有企业,"29,106,829,546.42","10,035,022,093.63","660,543,164.52","-168,487,952.90","30,589,736,143.75",0.016086,24.094239,0.056819,0.111057,0.344124,0.316661,0.278279,0.165283,3.230072,0.053891
